DeWayneLanes
DeWayneLanes,,,,,,,,,,,,,
UUID,A,Mileage,Year,Price,Update Date,Engine Information.Number of Forward Gears,VIN,B,Create Date,Zip Code,Identification.Classification,Make,Model
140,143,202,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,Audi,2009 Audi A3
140,143,202,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,28,Automatic transmission,Audi,2009 Audi A3
140,143,202,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission,Audi,2009 Audi A3
140,143,202,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,28,Automatic transmission,Audi,2009 Audi A3
140,143,202,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,28,Automatic transmission,Audi,2009 Audi A3
91,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Manual,16,Gasoline,27,Manual transmission,Audi,2009 Audi A5
91,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,Audi,2009 Audi A5
201,221,191,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,Audi,2009 Audi Q7
201,221,191,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission,Audi,2009 Audi Q7
147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Manual,22,Gasoline,30,Manual transmission,Audi,2009 Audi A4 Sedan
147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,27,Automatic transmission,Audi,2009 Audi A4 Sedan
147,96,34,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,Audi,2009 Audi A4 Sedan
172,63,87,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,29,Automatic transmission,Acura,2012 Acura TL
172,63,87,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,Acura,2012 Acura TL
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,BMW,2010 BMW X5
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,BMW,2011 BMW X5
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,BMW,2010 BMW X6
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,BMW,2011 BMW X6
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,Chevrolet,2012 Chevrolet Colorado
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,Chevrolet,2012 Chevrolet Colorado
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,Chevrolet,2012 Chevrolet Colorado
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,Chevrolet,2011 Chevrolet Colorado
